ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
BURL,"Burlington Stores, Inc.",75.0,A,19.9,33.1,0.0,0.0,0,-12.1,-4.8,Consumer Cyclical,moderate,down -7.6% today; 33% upside to target; limited dip history,opportunity,high leverage (D/E 320%); golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Medium,21.6,-7.6,-22.1,11.91,,290.0,272.2,313.74,386.0,1.33,False,14,4060.0,Sell 2026-08-28 $290 call ~$3.17 (400% ann.),Sell 2026-08-28 $290 put ~$2.95 (371% ann.)
AGX,"Argan, Inc.",72.6,A,27.1,45.2,0.5,-5.87,2,-33.0,-33.7,Industrials,,no meaningful dip today,opportunity,earnings in 5d; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,31.9,1.1,-20.7,1.04,,459.96,408.2,528.97,667.8,1.33,False,4,1839.84,Sell 2026-09-18 $460 call ~$41.25 (149% ann.),Sell 2026-09-18 $450 put ~$38.00 (140% ann.)
EXTR,"Extreme Networks, Inc.",72.5,B,26.5,44.2,0.0,-6.01,4,-23.7,-22.3,Technology,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,38.0,1.7,-22.2,1.28,,23.23,21.49,25.55,33.5,1.33,False,143,3321.89,Sell 2026-09-18 $24 call ~$0.77 (55% ann.),Sell 2026-09-18 $23 put ~$0.88 (63% ann.)
DVA,DaVita Inc.,71.5,B,18.8,22.1,1.0,3.57,1,-7.2,-19.0,Healthcare,,no meaningful dip today,opportunity,high short interest (12%); high leverage (D/E 1242%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,32.7,-0.6,-25.1,14.01,,178.88,169.41,191.51,218.42857,1.33,False,26,4650.88,Sell 2026-09-18 $180 call ~$4.75 (44% ann.),Sell 2026-09-18 $175 put ~$3.62 (34% ann.)
RBA,"RB Global, Inc.",71.5,A,30.1,50.1,0.0,0.0,0,-20.2,-20.9,Industrials,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Accumulate,Medium,34.6,0.2,-21.6,4.85,,85.89,81.1,92.28,128.90909,1.33,False,52,4466.28,Sell 2026-09-18 $88 call ~$2.30 (44% ann.),Sell 2026-09-18 $85 put ~$2.35 (46% ann.)
APP,Applovin Corporation,70.8,A,57.9,68.1,0.6,5.4,5,-50.8,-44.1,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); R:R 1.33 below 1.5 floor,Accumulate,High,35.3,1.5,-22.6,6.83,,312.63,285.9,348.27,525.5806,1.33,False,9,2813.67,Sell 2026-08-28 $315 call ~$2.55 (298% ann.),Sell 2026-08-28 $312 put ~$3.27 (383% ann.)
DY,"Dycom Industries, Inc.",70.5,B,81.2,95.5,1.0,8.27,3,-39.1,-39.7,Industrials,,no meaningful dip today,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,24.7,-0.9,-26.2,6.88,,308.01,275.37,351.52,602.0909,1.33,False,7,2156.07,Sell 2026-09-18 $310 call ~$14.05 (76% ann.),Sell 2026-09-18 $300 put ~$9.20 (51% ann.)
YOU,"Clear Secure, Inc.",69.2,A,23.4,39.0,0.0,0.0,0,-24.5,-23.1,Technology,,no meaningful dip today,opportunity,high short interest (16%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,33.9,-0.3,-21.3,1.0,,44.13,40.6,48.83,61.33333,1.33,False,70,3089.1,Sell 2026-09-18 $45 call ~$1.52 (57% ann.),Sell 2026-09-18 $40 put ~$0.55 (23% ann.)
IESC,"IES Holdings, Inc.",67.9,A,19.1,31.9,0.5,16.91,2,-53.2,-53.9,Industrials,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (1.8); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,25.6,0.7,-32.8,3.99,,333.67,268.33,420.79,440.0,1.33,False,3,1001.01,Sell 2026-09-18 $335 call ~$19.10 (95% ann.),Sell 2026-09-18 $330 put ~$18.50 (93% ann.)
ICHR,Ichor Holdings,66.5,B,52.9,62.2,0.714,4.77,7,-23.6,-22.2,Technology,,no meaningful dip today,opportunity,high beta (1.9); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,38.5,2.6,-21.2,1.01,,59.09,50.66,70.33,95.85714,1.33,False,29,1713.61,Sell 2026-09-18 $60 call ~$4.08 (114% ann.),Sell 2026-09-18 $58 put ~$3.42 (99% ann.)
