ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
AGX,"Argan, Inc.",75.6,A,35.9,59.9,0.5,-5.87,2,-41.1,-41.7,Industrials,moderate,down -9.2% today; 60% upside to target; limited dip history,opportunity,earnings in 3d; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Medium,27.2,-9.2,-26.8,1.04,,417.74,364.9,488.2,667.8,1.33,False,4,1670.96,Sell 2026-09-18 $460 call ~$23.15 (106% ann.),Sell 2026-09-18 $410 put ~$30.80 (144% ann.)
STRL,"Sterling Infrastructure, Inc.",75.3,A,34.5,86.2,0.333,5.79,3,-52.8,-53.4,Industrials,,"down -7.1% with upside signals, but history is against it (bounced only 33% of 3 dips)",opportunity,high beta (1.9); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Low,34.8,-7.1,-21.2,3.44,,470.52,412.51,547.87,876.0,1.33,False,4,1882.08,Sell 2026-09-18 $480 call ~$25.45 (104% ann.),Sell 2026-09-18 $470 put ~$27.30 (112% ann.)
DY,"Dycom Industries, Inc.",75.2,B,71.4,84.0,1.0,8.27,3,-41.2,-41.8,Industrials,strong,down -4.4% today; 84% upside to target; historically bounced 100% of 3 similar dips (avg +8.3%),opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,22.9,-4.4,-26.6,6.88,,294.34,262.12,337.3,541.7273,1.33,False,7,2060.38,Sell 2026-09-18 $300 call ~$10.40 (68% ann.),Sell 2026-09-18 $290 put ~$9.60 (64% ann.)
BURL,"Burlington Stores, Inc.",73.8,A,20.2,33.6,0.0,0.0,0,-18.9,-14.1,Consumer Cyclical,moderate,down -5.9% today; 34% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,18.0,-5.9,-25.9,12.21,,272.95,254.28,297.84,364.75,1.33,False,13,3548.35,Sell 2026-09-04 $280 call ~$2.95 (79% ann.),
APP,Applovin Corporation,71.0,A,54.7,64.4,0.6,5.4,5,-46.3,-42.3,Communication Services,,no meaningful dip today,opportunity,near 52-week low (support test / falling knife); high beta (2.5); R:R 1.33 below 1.5 floor,Accumulate,High,37.7,1.6,-19.7,6.83,,317.76,290.5,354.11,522.29034,1.33,False,9,2859.84,Sell 2026-09-04 $320 call ~$8.40 (193% ann.),Sell 2026-09-04 $318 put ~$8.60 (198% ann.)
DVA,DaVita Inc.,70.5,B,17.8,20.9,1.0,3.57,1,-9.3,-22.4,Healthcare,,no meaningful dip today,opportunity,high short interest (12%); high leverage (D/E 1242%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,35.5,1.0,-24.7,14.01,,180.68,171.49,192.94,218.42857,1.33,False,27,4878.36,Sell 2026-09-18 $185 call ~$3.30 (35% ann.),Sell 2026-09-18 $180 put ~$4.50 (48% ann.)
IESC,"IES Holdings, Inc.",70.4,A,25.2,42.0,0.5,16.91,2,-58.0,-58.6,Industrials,moderate,down -7.2% today; 42% upside to target; limited dip history,opportunity,near 52-week low (support test / falling knife); high beta (1.8); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,24.6,-7.2,-45.8,3.99,,309.8,246.52,394.18,440.0,1.33,False,3,929.4,Sell 2026-09-18 $310 call ~$19.80 (123% ann.),Sell 2026-09-18 $305 put ~$14.80 (93% ann.)
RRX,Regal Rexnord Corporation,69.8,B,34.9,58.2,0.5,3.88,2,-28.7,-29.3,Industrials,moderate,down -4.0% today; 58% upside to target; limited dip history,opportunity,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,29.9,-4.0,-23.3,6.06,,157.43,145.45,173.41,249.0,1.33,False,20,3148.6,Sell 2026-09-18 $160 call ~$6.15 (75% ann.),Sell 2026-09-18 $155 put ~$5.05 (63% ann.)
YOU,"Clear Secure, Inc.",69.2,A,24.7,41.2,0.0,0.0,0,-24.3,-19.7,Technology,,no meaningful dip today,opportunity,high short interest (16%); golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,Medium,32.1,-1.6,-21.4,1.0,,43.43,39.85,48.21,61.33333,1.34,False,69,2996.67,Sell 2026-09-18 $45 call ~$1.25 (55% ann.),Sell 2026-09-18 $40 put ~$0.60 (29% ann.)
BLBD,Blue Bird Corporation,69.2,B,30.3,50.5,0.0,0.0,0,-20.2,-20.8,Industrials,,no meaningful dip today,opportunity,high short interest (14%); negative free cash flow; small cap (thinner liquidity); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,32.7,-1.1,-20.4,1.61,,59.23,55.0,64.87,89.125,1.33,False,59,3494.57,Sell 2026-09-18 $60 call ~$1.82 (59% ann.),Sell 2026-09-18 $55 put ~$0.53 (18% ann.)
ALGT,Allegiant Travel Company,67.5,C,40.9,68.2,0.5,1.44,6,-6.8,-7.4,Industrials,,no meaningful dip today,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,34.8,-1.7,-19.5,2.89,,78.94,72.2,87.93,132.7857,1.33,False,37,2920.78,Sell 2026-09-18 $80 call ~$3.98 (97% ann.),Sell 2026-09-18 $75 put ~$2.15 (55% ann.)
ULS,UL Solutions Inc.,67.5,A,18.4,30.7,0.0,0.0,0,-26.0,-26.6,Industrials,,no meaningful dip today,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,31.8,-1.5,-18.8,3.15,,74.43,70.83,79.23,97.31667,1.33,False,69,5135.67,Sell 2026-09-18 $75 call ~$1.80 (46% ann.),Sell 2026-09-18 $70 put ~$0.50 (14% ann.)
